NR;Gender;Age;State;Working status;Children in household (<18);Household size;Net household income;Civil status;Academic / Professional education;School education;City;Urban (>100k Pop.);Country;Platform;1. I see myself as someone who...:... is reserved.;1. I see myself as someone who...:... is generally trusting.;1. I see myself as someone who...:... tends to be lazy.;1. I see myself as someone who...:... is relaxed, handles stress well.;1. I see myself as someone who...:... has few artistic interests.;1. I see myself as someone who...:... is outgoing, sociable.;1. I see myself as someone who...:... tends to find fault with others.;1. I see myself as someone who...:... does a thorough job.;1. I see myself as someone who...:... gets nervous easily.;1. I see myself as someone who...:... has an active imagination.;2. Please, Indicate your level of agreement::I think jokes about gender are funny.;2. Please, Indicate your level of agreement::I enjoy clever insults.;2. Please, Indicate your level of agreement::I like pictures of cute animals.;2. Please, Indicate your level of agreement::I am very familiar with Game of Thrones.;2. Please, Indicate your level of agreement::I think jokes about other people's appearance are funny.;2. Please, Indicate your level of agreement::I like puns.;2. Please, Indicate your level of agreement::I think men only care about themselves while having sex.;2. Please, Indicate your level of agreement::I am amused by self-deprecating jokes.;2. Please, Indicate your level of agreement::I like a good comeback.;2. Please, Indicate your level of agreement::I enjoy romantic comedies.;3. Please, Indicate your level of agreement::I would like to explore strange places.;3. Please, Indicate your level of agreement::I get restless when I spend too much time at home.;3. Please, Indicate your level of agreement::I like to do frightening things.;3. Please, Indicate your level of agreement::I like wild parties.;3. Please, Indicate your level of agreement::I would like to take off on a trip with no pre-planned routes or timetables.;3. Please, Indicate your level of agreement::I prefer friends who are excitingly unpredictable.;3. Please, Indicate your level of agreement::I would like to try bungee jumping.;3. Please, Indicate your level of agreement::I would love to have new and exciting experiences, even if they are illegal.;4. Please, Indicate your level of agreement::I often say or write jokes and funny stories;4. Please, Indicate your level of agreement::I'm confident that I can make other people laugh;4. Please, Indicate your level of agreement::I use humor to entertain my friends;4. Please, Indicate your level of agreement::I can often crack people up with the things I say;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:It would make me feel good to be this person.;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:Being a person like this is an important part of who I am.;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:I would be ashamed to be this person.;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:Having these characteristics is not really important to me.;5. Imagine a person with the following characteristics,   <br><br><b>Caring<br> Compassionate<br> Fair<br> Friendly<br> Generous<br> Helpful<br> Hardworking<br> Honest<br> Kind:I strongly desire to have these characteristics.;7. Please indicate how much you agree::I am cheerful.;7. Please indicate how much you agree::I am ready to have some fun.;7. Please indicate how much you agree::I could laugh at the drop of a hat.;7. Please indicate how much you agree::I'm walking on air.;7. Please indicate how much you agree::I am amused.;7. Please indicate how much you agree::I am delighted.;8. How do you currently feel?:Upset;8. How do you currently feel?:Hostile;8. How do you currently feel?:Alert;8. How do you currently feel?:Ashamed;8. How do you currently feel?:Inspired;8. How do you currently feel?:Nervous;8. How do you currently feel?:Determined;8. How do you currently feel?:Attentive;8. How do you currently feel?:Afraid;8. How do you currently feel?:Active;9. Next, humorous texts and images will be shown. Each time, we will ask two questions about your response.;"10. ""Knock, knock. Who’s there? Olive. Olive, who? Olive you, and I don’t care who knows it."" (in ?)";"11. ""Knock, knock. Who’s there? Olive. Olive, who? Olive you, and I don’t care who knows it.""";"12. ""I'm not saying I hate you, but I would unplug your life support to charge my phone."" (in ?)";"13. ""I'm not saying I hate you, but I would unplug your life support to charge my phone.""";"14. ""Can a kangaroo jump higher than the Empire State Building?"" ""Of course. The Empire State Building can't jump."" (in ?)";"15. ""Can a kangaroo jump higher than the Empire State Building?"" ""Of course. The Empire State Building can't jump.""";"16. ""It’s true that I’m CUTE: C(ringy), U(nattractive), T(rash), and E(asy to forget)."" (in ?)";"17. ""It’s true that I’m CUTE: C(ringy), U(nattractive), T(rash), and E(asy to forget).""";"18. ""What’s the difference between a G-spot and a golf ball?""  ""A man will actually search for a golf ball."" (in ?)";"19. ""What’s the difference between a G-spot and a golf ball?""  ""A man will actually search for a golf ball.""";20. How funny do you find this image? (in ?);21. Final evaluation:;22. How funny do you find this image? (in ?);23. Final evaluation:;24. How funny do you find this image? (in ?);25. Final evaluation:;26. How funny do you find this image? (in ?);27. Final evaluation:;28. How funny do you find this image? (in ?);29. Final evaluation:;30. How hard was it for you to understand the English language/vocabulary in the jokes? (in ?)
43;m;21;California;-;-;-;-;-;-;-;Los Angeles;-;USA;iOS;5;5;1;5;5;5;3;5;5;5;5;5;5;5;5;4;3;5;4;5;4;4;3;4;4;4;4;4;5;5;5;5;5;5;3;1;5;5;5;5;1;5;5;3;2;5;1;5;2;5;5;1;5;-;1;Bad joke;7;Good joke;1;Bad joke;7;Good joke;7;Bad joke;1;Bad joke;7;Good joke;1;Bad joke;5;Bad joke;7;Good joke;1
44;m;35;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;1;4;3;2;1;3;3;5;5;3;3;3;3;3;3;3;3;3;3;4;3;3;1;3;3;4;3;1;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;4;2;2;2;2;-;3;Bad joke;4;Good joke;4;Good joke;3;Bad joke;5;Good joke;3;Bad joke;2;Bad joke;1;Bad joke;4;Good joke;6;Good joke;1
45;m;46;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;4;3;3;4;3;3;4;3;5;1;1;5;5;1;1;3;1;1;5;3;3;1;2;4;3;3;1;3;3;3;3;3;3;1;3;3;3;5;3;3;4;4;3;3;3;3;3;3;3;3;3;3;-;2;Bad joke;2;Bad joke;3;Bad joke;2;Bad joke;7;Good joke;4;Bad joke;3;Bad joke;4;Good joke;3;Bad joke;7;Good joke;2
46;m;26;Maryland;-;-;-;-;-;-;-;Baltimore;-;USA;Android;4;1;1;3;3;3;3;1;4;2;3;4;4;3;5;1;3;4;4;5;2;5;1;4;4;4;4;4;5;5;4;4;5;4;3;1;2;2;4;4;1;1;1;3;2;1;3;3;1;3;2;3;1;-;4;Good joke;5;Good joke;4;Good joke;5;Good joke;7;Good joke;4;Good joke;7;Good joke;7;Good joke;4;Good joke;5;Good joke;3
47;m;33;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;5;4;3;2;2;3;4;4;3;2;4;2;1;3;4;2;3;4;4;2;2;3;1;2;2;3;2;2;3;4;3;4;4;2;2;4;3;3;2;2;3;3;3;4;4;3;3;3;4;4;3;3;-;3;Bad joke;2;Bad joke;4;Good joke;2;Bad joke;5;Good joke;3;Bad joke;2;Bad joke;4;Good joke;5;Good joke;6;Good joke;1
48;m;35;California;-;-;-;-;-;-;-;Sacramento;-;USA;Android;5;5;4;4;4;4;4;4;4;4;5;3;5;5;5;5;5;5;5;5;2;2;1;4;2;2;2;4;4;4;2;4;3;5;1;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;4
49;m;45;New York;-;-;-;-;-;-;-;New York;-;USA;Android;4;4;4;4;3;3;4;4;4;4;3;4;4;4;3;4;2;4;4;4;4;4;2;3;4;4;4;3;3;4;4;4;5;5;1;1;5;5;5;4;3;5;5;2;3;5;2;5;3;5;5;3;5;-;2;Bad joke;4;Good joke;3;Good joke;3;Bad joke;3;Good joke;3;Bad joke;3;Bad joke;3;Bad joke;3;Bad joke;6;Good joke;3
50;f;37;-;-;-;-;-;-;-;-;-;-;GBR;iOS;1;3;4;2;3;4;2;4;2;4;2;4;3;5;1;2;1;2;5;2;2;1;1;1;5;2;1;1;1;4;2;1;5;4;1;1;5;4;2;4;2;2;4;4;1;3;1;3;2;2;2;1;2;-;3;Bad joke;1;Bad joke;4;Good joke;1;Bad joke;3;Bad joke;5;Good joke;2;Bad joke;6;Good joke;2;Bad joke;2;Bad joke;1
51;f;26;New York;-;-;-;-;-;-;-;New York;-;USA;Android;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;3;3;3;3;3;3;2;-;6;Good joke;7;Good joke;6;Good joke;7;Good joke;7;Good joke;7;Good joke;3;Bad joke;7;Good joke;5;Good joke;7;Bad joke;5
52;f;34;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;4;1;2;5;1;2;5;4;5;4;5;5;5;5;5;1;5;5;4;4;4;1;1;1;1;2;1;1;2;4;4;5;5;1;1;5;4;4;5;3;4;3;2;1;2;2;3;2;5;5;2;2;-;5;Good joke;4;Good joke;4;Good joke;1;Bad joke;3;Bad joke;2;Bad joke;2;Bad joke;5;Good joke;2;Bad joke;2;Bad joke;1
53;m;48;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;5;5;5;4;4;5;5;4;4;4;5;5;4;4;3;4;5;5;4;4;4;5;4;5;5;4;4;4;4;5;4;5;5;4;4;4;5;5;5;4;4;4;3;4;3;4;4;4;4;3;3;4;-;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;5;Good joke;6;Good joke;4
54;f;49;Florida;-;-;-;-;-;-;-;Gadsden;-;USA;Android;3;4;3;3;3;3;3;2;4;5;3;3;3;3;3;3;3;3;3;3;3;4;1;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;4;1;1;3;2;5;3;4;5;2;5;5;3;5;5;-;7;Good joke;1;Bad joke;4;Good joke;7;Good joke;5;Bad joke;4;Good joke;2;Bad joke;4;Good joke;4;Good joke;4;Good joke;1
55;f;36;-;-;-;-;-;-;-;-;-;-;GBR;iOS;5;5;2;3;4;1;1;5;5;5;4;4;1;1;4;5;2;4;4;5;4;2;5;1;5;3;1;4;4;5;5;5;5;5;1;2;5;4;5;2;1;3;4;5;5;5;2;1;5;3;5;3;3;-;7;Good joke;7;Good joke;3;Bad joke;1;Bad joke;7;Good joke;1;Bad joke;1;Bad joke;1;Bad joke;7;Good joke;7;Good joke;1
56;f;39;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;5;4;1;4;5;2;5;4;5;2;4;5;3;2;4;4;2;5;4;4;2;2;2;4;2;2;2;4;4;4;4;5;5;1;1;5;5;5;2;3;4;4;3;2;3;2;4;3;3;3;3;4;-;2;Bad joke;3;Bad joke;4;Good joke;3;Good joke;4;Good joke;4;Bad joke;4;Good joke;3;Bad joke;5;Good joke;4;Good joke;3
57;f;70;-;-;-;-;-;-;-;-;-;-;GBR;iOS;2;1;1;5;4;4;5;5;1;4;4;5;5;5;4;5;5;4;5;1;4;1;2;2;4;2;1;1;1;3;4;2;4;2;2;4;2;5;4;2;2;4;4;1;1;5;1;4;1;5;5;1;4;-;5;Good joke;7;Good joke;7;Good joke;1;Bad joke;7;Good joke;3;Bad joke;3;Bad joke;2;Bad joke;5;Good joke;6;Good joke;1
58;f;29;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;5;2;3;3;4;1;2;4;4;2;1;5;4;1;2;1;2;4;3;4;4;2;1;3;2;5;1;2;1;2;4;5;5;1;1;5;3;4;2;2;1;3;5;3;3;2;4;3;4;3;5;3;-;3;Bad joke;4;Good joke;4;Good joke;5;Good joke;4;Bad joke;5;Good joke;1;Bad joke;5;Good joke;4;Good joke;3;Bad joke;3
59;f;31;-;-;-;-;-;-;-;-;-;-;GBR;iOS;3;4;2;5;2;3;4;5;5;4;4;4;4;5;4;4;3;3;4;4;4;4;4;4;5;3;3;4;3;2;4;4;3;4;3;4;4;4;4;3;3;4;3;4;4;3;4;4;3;4;4;3;4;-;5;Bad joke;3;Good joke;3;Bad joke;4;Bad joke;4;Good joke;4;Good joke;3;Good joke;6;Good joke;4;Good joke;1;Bad joke;3
60;f;21;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;3;3;3;3;4;4;5;5;3;2;5;5;3;1;4;5;1;4;5;4;2;1;4;1;2;4;1;3;4;4;4;5;5;1;1;5;4;4;4;1;4;1;2;1;4;1;2;5;3;4;3;5;-;2;Bad joke;2;Bad joke;5;Bad joke;2;Bad joke;7;Good joke;2;Bad joke;4;Bad joke;6;Good joke;4;Good joke;5;Good joke;2
61;f;26;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;3;3;5;5;3;4;4;3;4;4;4;3;3;4;5;4;5;4;3;4;4;3;5;4;4;5;3;4;4;3;4;5;3;2;5;5;3;4;5;3;5;4;4;4;5;5;5;3;4;4;3;4;-;7;Good joke;4;Good joke;4;Good joke;5;Good joke;5;Good joke;5;Good joke;6;Good joke;2;Bad joke;3;Bad joke;1;Bad joke;4
62;m;43;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;4;4;3;4;4;5;4;3;5;3;4;2;1;3;4;2;4;3;3;4;5;4;5;5;4;4;5;2;4;3;3;5;5;1;1;5;4;5;2;3;3;3;4;3;3;3;3;2;4;4;4;2;-;5;Good joke;5;Good joke;2;Bad joke;2;Bad joke;2;Bad joke;2;Bad joke;4;Bad joke;2;Bad joke;4;Good joke;4;Good joke;1
63;m;42;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;4;3;2;5;3;3;4;5;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-;4;Bad joke;4;Bad joke;6;Good joke;4;Bad joke;6;Good joke;5;Good joke;4;Bad joke;5;Good joke;5;Good joke;6;Good joke;2
64;f;61;-;-;-;-;-;-;-;-;-;-;GBR;iOS;5;3;3;1;3;1;2;3;5;3;3;3;4;4;1;3;5;3;4;5;3;2;1;1;3;1;1;1;1;2;2;1;5;4;1;4;3;3;1;1;2;3;3;1;1;3;1;1;3;3;4;1;2;-;2;Bad joke;1;Bad joke;4;Bad joke;1;Bad joke;1;Bad joke;4;Bad joke;1;Bad joke;4;Good joke;4;Good joke;1;Bad joke;1
65;f;28;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;5;4;5;3;3;3;4;5;3;3;4;4;3;1;4;2;4;5;5;4;5;3;1;5;3;1;3;4;4;5;4;5;5;1;5;5;5;5;4;5;4;4;2;4;4;1;3;3;4;5;3;3;-;5;Good joke;4;Bad joke;7;Good joke;3;Bad joke;5;Good joke;1;Bad joke;1;Bad joke;3;Bad joke;5;Good joke;5;Good joke;1
66;f;39;California;-;-;-;-;-;-;-;Los Angeles;-;USA;Android;5;4;3;4;2;4;3;4;3;4;3;4;4;4;3;3;1;4;4;4;4;2;4;3;4;4;4;3;2;3;3;3;4;5;1;1;4;4;3;3;2;3;3;1;1;3;1;3;1;3;3;1;3;-;1;Bad joke;1;Bad joke;1;Bad joke;1;Bad joke;4;Bad joke;5;Good joke;4;Bad joke;4;Bad joke;1;Bad joke;2;Bad joke;1
67;m;41;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;5;2;4;4;4;2;5;3;4;3;3;3;4;4;4;2;4;4;3;2;2;2;2;1;3;2;1;2;2;3;3;4;4;1;4;4;3;4;2;1;4;3;4;3;3;4;3;3;3;3;4;3;-;6;Good joke;6;Good joke;5;Good joke;2;Bad joke;2;Bad joke;6;Good joke;1;Bad joke;5;Good joke;1;Bad joke;2;Bad joke;1
68;f;18;Colorado;-;-;-;-;-;-;-;Douglas;-;USA;iOS;4;4;4;3;2;3;3;5;4;4;3;5;3;3;2;3;3;2;4;5;3;4;2;3;2;2;1;3;3;4;4;5;5;4;1;2;3;4;5;3;2;4;4;4;3;4;3;5;4;4;4;4;3;-;3;Bad joke;6;Good joke;5;Good joke;2;Bad joke;7;Good joke;5;Good joke;5;Good joke;1;Bad joke;4;Bad joke;5;Good joke;4
69;f;22;-;-;-;-;-;-;-;-;-;-;GBR;iOS;4;2;4;2;5;1;3;3;5;2;2;4;5;1;2;4;4;4;5;4;4;4;3;2;2;4;1;2;2;2;2;2;5;4;1;2;5;2;1;1;1;2;1;5;4;2;4;1;3;2;1;1;2;-;5;Good joke;3;Bad joke;4;Bad joke;2;Bad joke;2;Bad joke;2;Bad joke;5;Good joke;3;Bad joke;1;Bad joke;1;Bad joke;1
70;m;19;-;-;-;-;-;-;-;-;-;-;GBR;iOS;3;3;4;3;3;4;5;4;4;5;5;4;5;3;3;4;2;3;5;4;3;5;4;4;4;3;5;4;4;5;3;3;3;4;4;4;1;3;5;3;3;4;2;2;3;4;4;3;5;4;2;3;2;-;6;Bad joke;5;Good joke;4;Good joke;2;Bad joke;3;Bad joke;4;Bad joke;5;Bad joke;1;Bad joke;6;Bad joke;5;Bad joke;3
71;m;36;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;4;4;5;3;5;4;5;5;3;5;-;6;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;7;Good joke;3;Bad joke;7;Good joke;7;Good joke;5
72;m;41;-;-;-;-;-;-;-;-;-;-;GBR;iOS;2;2;2;4;4;4;4;3;2;4;3;3;3;1;3;3;3;3;4;3;4;4;3;4;2;4;1;3;1;1;1;1;4;4;4;3;3;2;3;3;2;2;3;2;3;3;2;3;3;2;2;2;2;-;3;Bad joke;4;Bad joke;4;Bad joke;4;Bad joke;5;Good joke;4;Good joke;1;Bad joke;2;Bad joke;1;Bad joke;4;Bad joke;3
73;f;24;-;-;-;-;-;-;-;-;-;-;GBR;iOS;5;1;5;2;2;1;1;5;4;5;4;4;5;5;1;5;3;4;5;5;1;1;1;1;1;2;1;1;4;4;4;3;5;5;1;1;5;4;4;4;2;3;4;3;3;2;1;2;4;4;5;3;1;-;4;Good joke;1;Bad joke;4;Good joke;1;Bad joke;6;Good joke;7;Good joke;1;Bad joke;6;Good joke;6;Good joke;1;Bad joke;1
74;m;44;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;4;2;4;1;4;4;4;4;5;3;4;3;5;3;2;1;4;4;4;5;4;3;3;5;4;2;4;1;5;4;5;4;4;2;2;3;4;4;4;4;4;4;3;4;4;3;4;4;4;5;3;3;-;4;Bad joke;6;Good joke;5;Bad joke;4;Bad joke;5;Good joke;4;Bad joke;6;Good joke;5;Good joke;6;Good joke;6;Good joke;1
75;m;30;Georgia;-;-;-;-;-;-;-;Cobb;-;USA;Android;4;4;4;4;4;4;4;4;4;4;5;5;4;3;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;3;4;4;3;3;4;5;4;4;4;4;3;3;4;4;3;3;2;3;2;3;4;2;4;-;4;Bad joke;7;Good joke;4;Bad joke;5;Good joke;5;Good joke;4;Bad joke;6;Good joke;6;Good joke;6;Good joke;6;Good joke;1
76;m;21;Michigan;-;-;-;-;-;-;-;Roscommon;-;USA;iOS;4;4;4;1;4;1;4;1;5;5;4;4;5;1;2;4;3;1;4;5;4;4;1;2;5;5;5;4;1;4;4;4;5;4;1;1;5;4;5;5;2;5;4;2;1;4;4;3;5;2;2;5;3;-;3;Bad joke;2;Bad joke;4;Good joke;2;Bad joke;1;Bad joke;7;Good joke;2;Bad joke;5;Good joke;1;Bad joke;7;Good joke;1
77;m;26;New York;-;-;-;-;-;-;-;New York;-;USA;Android;5;5;3;5;3;2;4;5;5;4;4;3;5;5;5;4;5;4;3;5;3;4;5;4;4;4;5;4;3;3;4;4;5;4;5;5;4;4;4;3;3;5;4;1;2;4;3;5;2;5;5;3;5;-;5;Good joke;7;Good joke;4;Good joke;5;Bad joke;5;Bad joke;5;Good joke;7;Good joke;5;Bad joke;7;Good joke;7;Good joke;1
78;m;20;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;-;4;Good joke;7;Good joke;1;Bad joke;2;Bad joke;4;Bad joke;7;Good joke;6;Good joke;2;Bad joke;4;Bad joke;1;Bad joke;3
79;f;20;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;4;2;3;4;4;4;4;5;2;4;4;1;1;3;4;3;3;5;3;4;2;3;1;1;3;2;1;1;4;4;4;4;4;1;2;4;4;4;3;2;4;4;1;1;3;2;3;4;3;4;4;3;-;3;Good joke;1;Bad joke;4;Good joke;1;Bad joke;6;Good joke;2;Bad joke;5;Bad joke;5;Good joke;4;Good joke;5;Good joke;1
80;m;23;Georgia;-;-;-;-;-;-;-;DeKalb;-;USA;Android;5;5;1;4;5;4;2;5;2;4;2;1;3;5;4;1;5;4;2;5;4;4;2;4;2;1;3;2;5;5;5;4;5;5;1;2;5;4;3;3;1;3;5;2;2;1;2;5;1;1;4;2;5;-;5;Good joke;6;Good joke;7;Good joke;6;Good joke;6;Good joke;3;Good joke;5;Good joke;3;Good joke;5;Good joke;5;Good joke;1
81;f;26;Oklahoma;-;-;-;-;-;-;-;Pottawatomie;-;USA;iOS;4;4;2;4;2;5;3;3;4;1;4;4;3;3;2;1;3;4;3;2;3;3;3;3;4;5;2;5;5;4;3;1;2;2;4;3;3;4;4;4;1;2;3;4;1;3;1;4;2;5;4;1;3;-;6;Good joke;6;Good joke;4;Good joke;7;Bad joke;4;Good joke;2;Good joke;4;Good joke;5;Bad joke;6;Good joke;2;Good joke;3
82;m;28;Arizona;-;-;-;-;-;-;-;Maricopa;-;USA;iOS;4;4;4;5;4;4;5;4;4;4;3;4;5;3;4;4;4;3;4;4;4;3;3;4;5;4;4;3;4;4;4;4;5;5;5;5;5;4;4;4;1;1;4;4;3;3;5;4;3;2;5;1;5;-;2;Good joke;2;Good joke;2;Good joke;2;Good joke;2;Good joke;2;Good joke;2;Good joke;2;Good joke;2;Good joke;2;Good joke;2
83;m;46;-;-;-;-;-;-;-;-;-;-;GBR;Android;4;5;2;4;4;2;2;5;4;5;1;1;4;2;1;4;3;1;4;4;4;1;2;1;4;1;4;1;4;4;4;4;2;5;1;1;5;5;5;5;5;5;5;1;1;4;1;4;1;4;4;1;5;-;3;Bad joke;1;Bad joke;5;Good joke;1;Bad joke;1;Bad joke;4;Good joke;1;Bad joke;2;Bad joke;5;Good joke;1;Bad joke;1
84;m;35;New York;-;-;-;-;-;-;-;New York;-;USA;Android;3;5;4;5;4;4;3;5;4;3;3;4;4;4;3;3;4;3;3;4;3;3;3;4;3;4;4;3;3;3;3;4;4;3;4;3;4;4;4;5;4;3;3;3;4;4;3;3;4;3;3;3;4;-;4;Bad joke;5;Good joke;4;Bad joke;7;Good joke;4;Good joke;7;Good joke;6;Good joke;6;Good joke;5;Good joke;4;Bad joke;4
85;f;18;California;-;-;-;-;-;-;-;San Diego;-;USA;iOS;5;5;3;3;4;1;2;4;5;4;1;4;4;2;1;4;3;2;3;5;4;4;1;1;4;5;1;1;2;3;4;3;5;4;1;1;5;4;4;4;3;4;4;3;3;5;4;5;4;4;4;5;3;-;1;Bad joke;2;Bad joke;1;Bad joke;1;Bad joke;7;Good joke;4;Good joke;1;Bad joke;1;Bad joke;3;Bad joke;1;Bad joke;1
86;f;23;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;4;4;4;3;3;2;4;5;4;1;4;5;2;1;4;4;4;4;4;5;5;4;3;5;1;2;4;2;2;2;2;5;5;1;1;5;4;4;3;3;4;4;4;2;4;5;4;5;4;4;3;3;-;4;Good joke;5;Bad joke;6;Good joke;6;Bad joke;3;Bad joke;6;Good joke;2;Bad joke;5;Good joke;3;Bad joke;5;Bad joke;1
87;f;20;California;-;-;-;-;-;-;-;Contra Costa;-;USA;Android;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;4;4;5;4;4;4;4;4;4;2;2;4;2;4;4;4;4;1;4;4;2;2;3;2;5;2;4;5;2;4;-;3;Good joke;2;Bad joke;4;Good joke;4;Good joke;4;Good joke;5;Good joke;3;Good joke;4;Good joke;3;Good joke;4;Good joke;3
88;f;35;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;4;4;2;3;4;4;4;4;3;4;4;4;3;4;3;4;3;4;4;4;3;2;3;4;2;1;2;3;4;4;3;4;5;2;1;4;3;4;3;3;3;3;3;2;2;2;3;2;2;2;2;2;-;3;Bad joke;4;Bad joke;2;Bad joke;1;Bad joke;4;Bad joke;3;Bad joke;2;Bad joke;2;Bad joke;3;Bad joke;3;Bad joke;1
89;f;36;-;-;-;-;-;-;-;-;-;-;GBR;iOS;2;3;2;1;2;2;2;3;1;1;2;3;2;2;2;2;2;3;3;3;4;1;1;1;1;2;1;1;2;4;4;3;3;4;4;1;4;4;5;5;5;2;5;3;3;5;5;3;5;5;1;5;2;-;4;Good joke;4;Bad joke;5;Good joke;5;Good joke;5;Good joke;5;Good joke;4;Good joke;4;Good joke;5;Good joke;5;Good joke;3
90;m;19;-;-;-;-;-;-;-;-;-;-;GBR;Android;3;4;4;4;5;4;4;3;1;3;5;5;2;2;5;3;4;4;4;1;5;2;2;5;3;5;1;5;3;4;4;4;3;3;2;3;2;3;4;4;3;3;3;2;2;3;1;2;3;2;2;2;1;-;3;Bad joke;4;Good joke;4;Good joke;2;Bad joke;5;Good joke;3;Bad joke;5;Good joke;1;Bad joke;3;Bad joke;2;Bad joke;2
91;f;27;Maryland;-;-;-;-;-;-;-;Prince George's;-;USA;iOS;4;4;4;2;4;2;4;4;5;4;3;2;4;2;3;3;2;4;3;3;3;4;2;4;4;4;4;4;4;4;4;5;4;4;2;2;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-;4;Bad joke;4;Bad joke;4;Bad joke;4;Bad joke;4;Bad joke;4;Bad joke;5;Bad joke;4;Bad joke;4;Bad joke;4;Bad joke;3
92;m;35;-;-;-;-;-;-;-;-;-;-;GBR;Android;5;4;4;5;4;4;4;5;5;5;4;3;5;5;2;4;4;3;5;5;5;5;5;5;4;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;3;4;5;4;2;4;3;4;4;5;4;4;5;-;4;Bad joke;6;Good joke;6;Good joke;3;Bad joke;7;Good joke;5;Good joke;3;Bad joke;6;Good joke;5;Good joke;7;Good joke;2
93;f;64;-;-;-;-;-;-;-;-;-;-;GBR;iOS;5;4;2;3;2;4;2;4;3;3;2;3;4;1;1;4;3;3;3;4;1;4;1;1;4;1;1;1;1;2;2;2;5;4;1;2;5;4;4;3;3;4;4;1;1;3;1;3;1;4;4;1;3;-;1;Bad joke;1;Bad joke;3;Bad joke;1;Bad joke;1;Bad joke;5;Good joke;2;Bad joke;4;Good joke;6;Bad joke;7;Good joke;2
94;m;53;-;-;-;-;-;-;-;-;-;-;GBR;iOS;3;5;4;5;3;4;4;4;5;4;3;4;4;4;5;4;4;3;3;5;5;3;4;5;3;5;4;4;4;5;4;4;5;5;4;4;4;4;4;3;5;5;4;4;3;5;3;4;3;4;5;4;4;-;5;Good joke;5;Good joke;5;Good joke;5;Good joke;5;Good joke;7;Good joke;5;Good joke;5;Good joke;4;Good joke;6;Good joke;4
